data_format,humidity,temperature,pressure,acceleration,acceleration_x,acceleration_y,acceleration_z,tx_power,battery,movement_counter,measurement_sequence_number,mac,date
5,46.92,21.3,823.18,1009.3007480429211,32,-40,1008,4,2120,38,2241,DD:51:1E:E1:15:D4,Thu May  5 19:55:33 2022
5,46.64,21.3,823.18,1009.3007480429211,40,-32,1008,4,2120,38,2242,DD:51:1E:E1:15:D4,Thu May  5 19:55:36 2022
5,48.34,21.25,823.18,1009.3007480429211,32,-40,1008,4,2120,38,2243,DD:51:1E:E1:15:D4,Thu May  5 19:55:39 2022
5,49.4,21.23,823.18,1017.5735845628069,40,-40,1016,4,2120,38,2244,DD:51:1E:E1:15:D4,Thu May  5 19:55:42 2022
5,49.09,21.26,823.18,1017.2905189767572,32,-40,1016,4,2120,38,2245,DD:51:1E:E1:15:D4,Thu May  5 19:55:45 2022
5,48.5,21.25,823.18,1001.3111404553532,32,-40,1000,4,2120,38,2246,DD:51:1E:E1:15:D4,Thu May  5 19:55:48 2022
5,48.27,21.29,823.18,1009.5860537864021,40,-40,1008,4,2120,38,2247,DD:51:1E:E1:15:D4,Thu May  5 19:55:51 2022
5,48.19,21.29,823.18,1009.5860537864021,40,-40,1008,4,2120,38,2248,DD:51:1E:E1:15:D4,Thu May  5 19:55:54 2022
5,47.95,21.27,823.18,1009.015361627364,32,-32,1008,4,2120,38,2249,DD:51:1E:E1:15:D4,Thu May  5 19:55:57 2022
5,47.89,21.28,823.18,1009.5860537864021,40,-40,1008,4,2120,38,2250,DD:51:1E:E1:15:D4,Thu May  5 19:56:00 2022
5,47.7,21.3,823.18,1009.3007480429211,32,-40,1008,4,2120,38,2251,DD:51:1E:E1:15:D4,Thu May  5 19:56:03 2022
5,47.55,21.29,823.18,1009.3007480429211,32,-40,1008,4,2120,38,2252,DD:51:1E:E1:15:D4,Thu May  5 19:56:06 2022
5,47.36,21.27,823.18,1009.3007480429211,32,-40,1008,4,2120,38,2253,DD:51:1E:E1:15:D4,Thu May  5 19:56:09 2022
5,47.23,21.28,823.18,1009.5860537864021,40,-40,1008,4,2120,38,2254,DD:51:1E:E1:15:D4,Thu May  5 19:56:12 2022
5,47.12,21.3,823.18,1009.015361627364,32,-32,1008,4,2120,38,2255,DD:51:1E:E1:15:D4,Thu May  5 19:56:15 2022
5,46.74,21.3,823.18,1001.3111404553532,32,-40,1000,4,2120,38,2256,DD:51:1E:E1:15:D4,Thu May  5 19:56:18 2022
5,46.42,21.3,823.18,1017.5735845628069,40,-40,1016,4,2120,38,2257,DD:51:1E:E1:15:D4,Thu May  5 19:56:21 2022
5,46.64,21.3,823.18,1009.5860537864021,40,-40,1008,4,2120,38,2258,DD:51:1E:E1:15:D4,Thu May  5 19:56:24 2022
5,46.61,21.32,823.18,1009.3007480429211,32,-40,1008,4,2116,38,2259,DD:51:1E:E1:15:D4,Thu May  5 19:56:27 2022
5,46.13,21.31,823.18,1009.3007480429211,40,-32,1008,4,2116,38,2260,DD:51:1E:E1:15:D4,Thu May  5 19:56:30 2022
5,45.66,21.29,823.18,1009.3007480429211,40,-32,1008,4,2116,38,2261,DD:51:1E:E1:15:D4,Thu May  5 19:56:33 2022
5,45.32,21.31,823.18,1017.2905189767572,32,-40,1016,4,2116,38,2262,DD:51:1E:E1:15:D4,Thu May  5 19:56:36 2022
5,45.16,21.3,823.18,1009.015361627364,32,-32,1008,4,2116,38,2263,DD:51:1E:E1:15:D4,Thu May  5 19:56:39 2022
5,45.15,21.31,823.18,1017.2905189767572,32,-40,1016,4,2116,38,2264,DD:51:1E:E1:15:D4,Thu May  5 19:56:42 2022
5,45.17,21.32,823.18,1017.5735845628069,40,-40,1016,4,2116,38,2265,DD:51:1E:E1:15:D4,Thu May  5 19:56:45 2022
5,45.01,21.34,823.18,1001.3111404553532,32,-40,1000,4,2116,38,2266,DD:51:1E:E1:15:D4,Thu May  5 19:56:48 2022
5,45.87,21.31,823.18,1009.3007480429211,32,-40,1008,4,2116,38,2267,DD:51:1E:E1:15:D4,Thu May  5 19:56:51 2022
5,47.69,21.3,823.18,1009.3007480429211,32,-40,1008,4,2116,38,2268,DD:51:1E:E1:15:D4,Thu May  5 19:56:54 2022
5,48.57,21.29,823.18,1009.015361627364,32,-32,1008,4,2116,38,2269,DD:51:1E:E1:15:D4,Thu May  5 19:56:57 2022
5,48.9,21.31,823.18,1009.015361627364,32,-32,1008,4,2116,38,2270,DD:51:1E:E1:15:D4,Thu May  5 19:57:00 2022
5,49.01,21.3,823.18,1009.3007480429211,32,-40,1008,4,2116,38,2271,DD:51:1E:E1:15:D4,Thu May  5 19:57:03 2022
5,48.81,21.31,823.18,1009.3007480429211,32,-40,1008,4,2116,38,2272,DD:51:1E:E1:15:D4,Thu May  5 19:57:06 2022
